language,page_id,average_world_len,vowel_ratio,average_words_in_sentence,non_ascii_ratio,double_letter_ratio,double_vowel_ratio,a_ratio,b_ratio,c_ratio,d_ratio,e_ratio,f_ratio,g_ratio,h_ratio,i_ratio,j_ratio,k_ratio,l_ratio,m_ratio,n_ratio,o_ratio,p_ratio,q_ratio,r_ratio,s_ratio,t_ratio,u_ratio,v_ratio,w_ratio,x_ratio,y_ratio,z_ratio
pl,837433,5.240384615384615,0.3871559633027523,17.333333333333332,0.05547445255474453,0.014678899082568808,0.031192660550458717,0.08807339449541285,0.003669724770642202,0.031192660550458717,0.03853211009174312,0.060550458715596334,0.01651376146788991,0.02018348623853211,0.01834862385321101,0.07706422018348624,0.02018348623853211,0.03669724770642202,0.025688073394495414,0.03669724770642202,0.06605504587155964,0.09357798165137615,0.023853211009174313,0.0,0.06788990825688074,0.05688073394495413,0.044036697247706424,0.025688073394495414,0.007339449541284404,0.04036697247706422,0.0,0.04220183486238532,0.02018348623853211
pl,59721,6.044871794871795,0.37857900318133614,14.181818181818182,0.07699037620297462,0.003181336161187699,0.03817603393425239,0.09013785790031813,0.016967126193001062,0.03923647932131495,0.02545068928950159,0.07317073170731707,0.0021208907741251328,0.009544008483563097,0.009544008483563097,0.07635206786850478,0.022269353128313893,0.02545068928950159,0.015906680805938492,0.02332979851537646,0.07317073170731707,0.06786850477200425,0.029692470837751856,0.0,0.041357370095440084,0.04029692470837752,0.043478260869565216,0.02863202545068929,0.0021208907741251328,0.04559915164369035,0.0,0.042417815482502653,0.06680805938494168
pl,93454,6.409090909090909,0.3900709219858156,15.714285714285714,0.0671217292377702,0.0014184397163120568,0.0524822695035461,0.08368794326241134,0.01702127659574468,0.032624113475177303,0.03546099290780142,0.09645390070921986,0.0,0.02695035460992908,0.0028368794326241137,0.0851063829787234,0.015602836879432624,0.05673758865248227,0.024113475177304965,0.031205673758865248,0.04680851063829787,0.07234042553191489,0.018439716312056736,0.0,0.05531914893617021,0.03687943262411347,0.04113475177304964,0.031205673758865248,0.0014184397163120568,0.059574468085106386,0.0014184397163120568,0.02127659574468085,0.04113475177304964
pl,120655,6.801587301587301,0.3943990665110852,12.6,0.04976525821596244,0.004667444574095682,0.03500583430571762,0.11901983663943991,0.008168028004667444,0.025670945157526253,0.040840140023337225,0.07701283547257877,0.004667444574095682,0.010501750291715286,0.003500583430571762,0.07584597432905485,0.030338389731621937,0.0338389731621937,0.01750291715285881,0.019836639439906652,0.06417736289381563,0.060676779463243874,0.03500583430571762,0.0,0.0676779463243874,0.051341890315052506,0.03267211201866978,0.028004667444574097,0.0,0.050175029171528586,0.0,0.0338389731621937,0.05367561260210035
pl,65989,6.405405405405405,0.35443037974683544,18.5,0.0743362831858407,0.004219409282700422,0.03270042194092827,0.09177215189873418,0.013713080168776372,0.04113924050632911,0.04852320675105485,0.05379746835443038,0.0,0.012658227848101266,0.022151898734177215,0.07383966244725738,0.024261603375527425,0.04852320675105485,0.017932489451476793,0.011603375527426161,0.046413502109704644,0.08333333333333333,0.03059071729957806,0.0,0.05485232067510549,0.05063291139240506,0.04113924050632911,0.0189873417721519,0.0,0.07805907172995781,0.0,0.03270042194092827,0.028481012658227847
pl,1046760,6.360655737704918,0.4072164948453608,14.352941176470589,0.03939393939393939,0.005154639175257732,0.04188144329896907,0.09600515463917526,0.010309278350515464,0.039304123711340205,0.030927835051546393,0.08891752577319588,0.0019329896907216496,0.014819587628865979,0.009664948453608248,0.08118556701030928,0.023195876288659795,0.043170103092783504,0.030283505154639175,0.027706185567010308,0.04445876288659794,0.08376288659793814,0.028350515463917526,0.0006443298969072165,0.05605670103092784,0.045103092783505154,0.045103092783505154,0.01997422680412371,0.001288659793814433,0.047036082474226804,0.0006443298969072165,0.037371134020618556,0.04574742268041237
pl,632009,5.349056603773585,0.37918871252204583,10.6,0.05056890012642225,0.010582010582010581,0.037037037037037035,0.12345679012345678,0.01763668430335097,0.02821869488536155,0.03527336860670194,0.0564373897707231,0.007054673721340388,0.015873015873015872,0.005291005291005291,0.07231040564373897,0.019400352733686066,0.026455026455026454,0.02292768959435626,0.03880070546737213,0.05114638447971781,0.07054673721340388,0.026455026455026454,0.0,0.06172839506172839,0.0564373897707231,0.04409171075837742,0.037037037037037035,0.0,0.05114638447971781,0.003527336860670194,0.019400352733686066,0.04585537918871252
pl,3887027,6.988505747126437,0.40131578947368424,29.0,0.07454289732770746,0.006578947368421052,0.05263157894736842,0.07894736842105263,0.013157894736842105,0.05098684210526316,0.02631578947368421,0.0805921052631579,0.003289473684210526,0.018092105263157895,0.004934210526315789,0.09210526315789473,0.019736842105263157,0.03289473684210526,0.023026315789473683,0.024671052631578948,0.06743421052631579,0.09539473684210527,0.03618421052631579,0.0,0.039473684210526314,0.02631578947368421,0.029605263157894735,0.024671052631578948,0.003289473684210526,0.049342105263157895,0.003289473684210526,0.029605263157894735,0.044407894736842105
pl,465011,6.556213017751479,0.40884476534296027,21.125,0.04984662576687116,0.0036101083032490976,0.04512635379061372,0.07671480144404332,0.019855595667870037,0.052346570397111915,0.02707581227436823,0.07581227436823104,0.007220216606498195,0.01895306859205776,0.02527075812274368,0.09205776173285199,0.023465703971119134,0.024368231046931407,0.0315884476534296,0.02527075812274368,0.05685920577617329,0.09115523465703972,0.013537906137184115,0.0,0.02527075812274368,0.033393501805054154,0.03700361010830325,0.030685920577617327,0.0,0.048736462093862815,0.0,0.042418772563176894,0.06498194945848375
pl,1303348,5.9397590361445785,0.3705206220419202,11.318181818181818,0.03373748023194518,0.0074374577417173765,0.032454361054766734,0.09263015551048005,0.0196078431372549,0.038539553752535496,0.029749830966869506,0.07234617985125084,0.005409060175794456,0.01555104800540906,0.016903313049357674,0.07099391480730223,0.012170385395537525,0.027721433400946585,0.018931710615280595,0.03177822853279243,0.060851926977687626,0.08113590263691683,0.03313049357674104,0.0,0.07640297498309669,0.0486815415821501,0.0581473968897904,0.018255578093306288,0.0,0.05544286680189317,0.002028397565922921,0.03515889114266396,0.038539553752535496
pl,2615152,5.345238095238095,0.3897550111358575,10.5,0.04,0.004454342984409799,0.0334075723830735,0.0779510022271715,0.017817371937639197,0.031180400890868598,0.0334075723830735,0.08463251670378619,0.008908685968819599,0.024498886414253896,0.008908685968819599,0.060133630289532294,0.015590200445434299,0.0400890868596882,0.024498886414253896,0.026726057906458798,0.04899777282850779,0.07126948775055679,0.026726057906458798,0.0,0.062360801781737196,0.0467706013363029,0.044543429844097995,0.0467706013363029,0.0,0.0556792873051225,0.0,0.04899777282850779,0.04899777282850779
pl,1534812,6.0962962962962965,0.38153098420413123,16.875,0.05180840664711633,0.00850546780072904,0.03766707168894289,0.09356014580801944,0.01701093560145808,0.038882138517618466,0.04738760631834751,0.06439854191980558,0.0036452004860267314,0.015795868772782502,0.015795868772782502,0.0692588092345079,0.02187120291616039,0.026731470230862697,0.01701093560145808,0.023086269744835967,0.046172539489671933,0.09234507897934387,0.032806804374240585,0.0,0.053462940461725394,0.03766707168894289,0.02916160388821385,0.027946537059538274,0.0,0.07290400972053462,0.002430133657351154,0.03402187120291616,0.0583232077764277
